Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:27:54,716376635935731712,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/piWhkvh8KX,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:27:31,716376540913778691,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/ebX4HAo9n7,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:27:00,716376408453464064,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/FHbQMk1o1I,False,
Donnie Coen,throt1965,912,0,341,202,54994248,False,Arizona,2016-04-02 21:26:48,716376358520131584,@Toni_Price #realdonaldtrump @POTUS @tcot @PJNET @CCOT https//tco/fhoPsTCixF,False,51073819
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:26:44,716376343076872193,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/uJzkpMk83c,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:26:32,716376292724224000,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/eq42zI48Kc,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:25:25,716376013102559232,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/UT94KHLmxw,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:24:59,716375902762975232,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/dc9UmMmjN8,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:24:49,716375861059067905,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/f0gDl3xkc6,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:23:54,716375629395005440,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/2mmzi9GarI,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:23:39,716375565612220416,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/nAKATDCQvw,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:23:06,716375430664740864,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/5AWQMUHNu8,False,
Lisa,Chocojavamomma,6484,3,276,157,40965524,False,West Coast USA,2016-04-02 21:18:18,716374222658883584,RT @wlynesmd Lee W Hickok a fastpaced story of medical mystery #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
Dan Kohrdt,DKohrdt,11742,1,3,124,4541034916,False,,2016-04-02 21:16:32,716373776670322688,Trump @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https//tco/QK2MC9wQjR https//tco/UzWYhhRqa5,False,
Nunnya Beeswax,NunnyFB,1386,0,101,10,1537080703,False,,2016-04-02 21:14:02,716373148640219136,#votetrump because the #dcCartel needs to be brought to justice #TrumpTrain #trump2016 #trump #realdonaldtrump #MakeAmericaGreatAgain,False,
